Year,Date,Site,Transect,Uniq_Transect,Protocol,Start_Time,Temp,Species,Num,Collector,Notes
2010,2010-08-27,1062DFR,6,2010.F.1062DFR.6,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,6,2010.F.1062DFR.6,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,7,2010.F.1062DFR.7,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,7,2010.F.1062DFR.7,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,7,2010.F.1062DFR.7,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,7,2010.F.1062DFR.7,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,7,2010.F.1062DFR.7,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,7,2010.F.1062DFR.7,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,8,2010.F.1062DFR.8,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,8,2010.F.1062DFR.8,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,8,2010.F.1062DFR.8,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,8,2010.F.1062DFR.8,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,8,2010.F.1062DFR.8,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,8,2010.F.1062DFR.8,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,1,2010.F.1062SFR.1,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,1,2010.F.1062SFR.1,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,1,2010.F.1062SFR.1,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,1,2010.F.1062SFR.1,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,1,2010.F.1062SFR.1,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,1,2010.F.1062SFR.1,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,2,2010.F.1062SFR.2,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,2,2010.F.1062SFR.2,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,2,2010.F.1062SFR.2,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,2,2010.F.1062SFR.2,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,2,2010.F.1062SFR.2,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,2,2010.F.1062SFR.2,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,3,2010.F.1062SFR.3,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,3,2010.F.1062SFR.3,MBRS,MISSING,MISSING,Diadema,1,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,3,2010.F.1062SFR.3,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,3,2010.F.1062SFR.3,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,3,2010.F.1062SFR.3,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,3,2010.F.1062SFR.3,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,4,2010.F.1062SFR.4,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,4,2010.F.1062SFR.4,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,4,2010.F.1062SFR.4,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,4,2010.F.1062SFR.4,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,4,2010.F.1062SFR.4,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,4,2010.F.1062SFR.4,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,5,2010.F.1062SFR.5,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,5,2010.F.1062SFR.5,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,5,2010.F.1062SFR.5,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,5,2010.F.1062SFR.5,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,5,2010.F.1062SFR.5,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,5,2010.F.1062SFR.5,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,6,2010.F.1062SFR.6,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,6,2010.F.1062SFR.6,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,6,2010.F.1062SFR.6,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,6,2010.F.1062SFR.6,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,6,2010.F.1062SFR.6,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,6,2010.F.1062SFR.6,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,7,2010.F.1062SFR.7,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,7,2010.F.1062SFR.7,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,7,2010.F.1062SFR.7,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,7,2010.F.1062SFR.7,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,7,2010.F.1062SFR.7,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,7,2010.F.1062SFR.7,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,8,2010.F.1062SFR.8,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,8,2010.F.1062SFR.8,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062SFR,8,2010.F.1062SFR.8,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,8,2010.F.1062SFR.8,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,8,2010.F.1062SFR.8,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062SFR,8,2010.F.1062SFR.8,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-26,1206BR,1,2010.F.1206BR.1,MBRS,MISSING,MISSING,DiademaJuv,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,1,2010.F.1206BR.1,MBRS,MISSING,MISSING,Diadema,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,1,2010.F.1206BR.1,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,1,2010.F.1206BR.1,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,1,2010.F.1206BR.1,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,1,2010.F.1206BR.1,MBRS,MISSING,MISSING,Cucumbers,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,2,2010.F.1206BR.2,MBRS,MISSING,MISSING,DiademaJuv,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,2,2010.F.1206BR.2,MBRS,MISSING,MISSING,Diadema,2,CECA,VIAL also a collector
2010,2010-08-26,1206BR,2,2010.F.1206BR.2,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,2,2010.F.1206BR.2,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,2,2010.F.1206BR.2,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,2,2010.F.1206BR.2,MBRS,MISSING,MISSING,Cucumbers,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,3,2010.F.1206BR.3,MBRS,MISSING,MISSING,DiademaJuv,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,3,2010.F.1206BR.3,MBRS,MISSING,MISSING,Diadema,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,3,2010.F.1206BR.3,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,3,2010.F.1206BR.3,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,3,2010.F.1206BR.3,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,3,2010.F.1206BR.3,MBRS,MISSING,MISSING,Cucumbers,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,4,2010.F.1206BR.4,MBRS,MISSING,MISSING,DiademaJuv,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,4,2010.F.1206BR.4,MBRS,MISSING,MISSING,Diadema,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,4,2010.F.1206BR.4,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,4,2010.F.1206BR.4,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,4,2010.F.1206BR.4,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,4,2010.F.1206BR.4,MBRS,MISSING,MISSING,Cucumbers,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,5,2010.F.1206BR.5,MBRS,MISSING,MISSING,DiademaJuv,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,5,2010.F.1206BR.5,MBRS,MISSING,MISSING,Diadema,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,5,2010.F.1206BR.5,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,5,2010.F.1206BR.5,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,5,2010.F.1206BR.5,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,5,2010.F.1206BR.5,MBRS,MISSING,MISSING,Cucumbers,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,6,2010.F.1206BR.6,MBRS,MISSING,MISSING,DiademaJuv,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,6,2010.F.1206BR.6,MBRS,MISSING,MISSING,Diadema,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,6,2010.F.1206BR.6,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,6,2010.F.1206BR.6,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,6,2010.F.1206BR.6,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,6,2010.F.1206BR.6,MBRS,MISSING,MISSING,Cucumbers,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,7,2010.F.1206BR.7,MBRS,MISSING,MISSING,DiademaJuv,1,CECA,VIAL also a collector
2010,2010-08-26,1206BR,7,2010.F.1206BR.7,MBRS,MISSING,MISSING,Diadema,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,7,2010.F.1206BR.7,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,7,2010.F.1206BR.7,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,7,2010.F.1206BR.7,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,7,2010.F.1206BR.7,MBRS,MISSING,MISSING,Cucumbers,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,8,2010.F.1206BR.8,MBRS,MISSING,MISSING,DiademaJuv,3,CECA,VIAL also a collector
2010,2010-08-26,1206BR,8,2010.F.1206BR.8,MBRS,MISSING,MISSING,Diadema,0,CECA,VIAL also a collector
2010,2010-08-26,1206BR,8,2010.F.1206BR.8,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,8,2010.F.1206BR.8,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,8,2010.F.1206BR.8,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206BR,8,2010.F.1206BR.8,MBRS,MISSING,MISSING,Cucumbers,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206DFR,1,2010.F.1206DFR.1,MBRS,MISSING,MISSING,DiademaJuv,0,CECA,VIAL also a collector
2010,2010-08-26,1206DFR,1,2010.F.1206DFR.1,MBRS,MISSING,MISSING,Diadema,0,CECA,VIAL also a collector
2010,2010-08-26,1206DFR,1,2010.F.1206DFR.1,MBRS,MISSING,MISSING,OtherUrchins,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206DFR,1,2010.F.1206DFR.1,MBRS,MISSING,MISSING,Lobster,MISSING,CECA,Not surveyed in 2010
2010,2010-08-26,1206DFR,1,2010.F.1206DFR.1,MBRS,MISSING,MISSING,Conch,MISSING,CECA,Not surveyed in 2010
