Organism,Bucket,Bucket_Name,Bucket2,Bucket2_Name,AGRRA_Bucket,AGRRA_Code,MBRS_Code,Org_Name,Aphia_ID,GBIF_ID,IUCN_ID,Height?,Bleaching,ND_A,Genus,Species,Notes
AVRA,MA,Macroalgae,MA,Macroalgae,MISSING,AVRA,AVR,Avrainvillea,143819,9706607,NA,Yes,No,No,Avrainvillae,NA,
BASB,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,BASB,AINV,Briareum asbestinum,289534,2261417,NA,No,No,No,Briareum,Briareum asbestinum,
BFMA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,BFMA,BFMA,Brown Fleshy Macroalgae,NA,9706607,NA,Yes,No,No,NA,NA,
BORE,INVERTS,Invertebrates,INVERTS,Invertebrates,MISSING,BORE,AINV,Unknown boring sponge,NA,NA,NA,No,No,No,NA,NA,
BRYO,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,OINV,BRYO,Bryozoan,146142,NA,NA,No,No,No,NA,NA,
CAUL,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,CAUL,CAUL,Caulerpa,143816,2642861,NA,Yes,No,No,Caulerpa,NA,
CCA,MA,Macroalgae,MA,Macroalgae,Algae_Crustose,CCA,CCA,Crustose Coralline Algae,NA,2642861,NA,No,No,No,NA,NA,
CCAR,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,CCAR,CCAR,Chondrilla caribensis,248192,5182760,NA,No,No,No,Chondrilla,Chondrilla caribensis,
CDEL,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,CDEL,CDEL,Cliothosa delitrix,1479479,11201788,NA,No,No,No,Cliothosa,Cliothosa delitrix,
CLAD,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,CLAD,CLAD,Cladophora,143996,2643712,NA,Yes,No,No,Cladophora,NA,
CLIO,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,CLIO,CLIO,Encrusting Clionid,NA,11191201,NA,No,No,No,NA,NA,
CMA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,CMA,CMA,Uncategorized Calcareous Macroalgae,NA,NA,NA,Yes,No,No,NA,NA,
CMOR,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates,CMOR,CORA,Corallimorph,NA,2260705,NA,No,No,No,NA,NA,
CNAT,COLP,Colpophyllia,CORAL,Coral,Coral,CNAT,CNAT,Colpophyllia natans,289697,10933301,/132884/165613226,No,Yes,Yes,Colpophyllia,Colpophyllia natans,
COEL,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,COEL,COEL,Coelothrix,144249,2663366,NA,Yes,No,No,Coelothrix,NA,
CRYP,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,CRYP,CRYP,Cryptonemia,144042,2656619,NA,Yes,No,No,Cryptonemia,NA,
CYAN,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Cyanobacteria,CYAN,CYAN,Cyanobacteria,146537,68,NA,No,No,No,NA,NA,Sometimes code BGA was used
CZOO,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,CZOO,ZOO,Zooxanthellate (Brown/Black) Clionid,NA,NA,NA,No,No,No,NA,NA,
DC,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Coral_Dead,DCS,DC,Dead Coral,NA,NA,NA,No,No,No,NA,NA,
DCB,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,MISSING,DCS,DCB,Dead Coral Boulder,NA,NA,NA,No,No,No,NA,NA,
DCYL,DEND,Dendrogyra,CORAL,Coral,Coral,DCYL,DCYL,Dendrogyra cylindrus,418865,4944083,/133124/129721366,No,Yes,Yes,Dendrogyra,Dendrogyra cylindrus,
DICT,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,DICT,DIC,Dictyota,144086,3200250,NA,Yes,No,No,Dictyota,NA,
DLAB,DIPL,Diploria,CORAL,Coral,Coral,DLAB,DLAB,Diploria labyrinthiformis,289826,2260167,/133257/165799250,No,Yes,Yes,Diploria,Diploria labyrinthiformis,
DSPH,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,GMA,DSPH,Dictyosphaeria,144265,8120158,NA,No,No,No,Dictyosphaeria,NA,
DSTO,DICH,Dichocoenia,CORAL,Coral,Coral,DSTO,DSTO,Dichocoenia stokesii,289807,5784766,/133102/165722422,No,Yes,Yes,Dichocoenia,Dichocoenia stokesii,
ECAR,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,ECAR,ECAR,Erythropodium caribaeorum,289919,2262143,NA,No,No,No,Erythropodium,Erythropodium caribaeorum,
EFAS,EUS,Eusmilia,CORAL,Coral,Coral,EFAS,EFAS,Eusmilia fastigiata,289939,2259738,/133400/165869793,No,Yes,Yes,Eusmilia,Eusmilia fastigiata,
FFRA,FAVI,Favia,CORAL,Coral,Coral,FFRA,FFRA,Favia fragum,207432,2260119,/133594/165966638,No,Yes,Yes,Favia,Favia fragum,
FILM,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Biofilm,FILM,MA,Microbial or Microalgal Biofilm,NA,NA,NA,No,No,No,NA,NA,
FMA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,FMA,FMA,Uncategorized Fleshy Macroalgae,NA,NA,NA,Yes,No,No,NA,NA,
GALA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,GALA,GAL,Galaxaura,144203,2665240,NA,Yes,No,No,Galaxaura,NA,
GCMA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,GCMA,GCMA,Green Calcareous Macroalgae,NA,NA,NA,Yes,No,No,NA,NA,
GFMA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,GFMA,GFMA,Green Fleshy Macroalgae,NA,NA,NA,Yes,No,No,NA,NA,
HALI,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,HALI,HAL,Halimeda,143820,2643252,NA,Yes,No,Yes,Halimeda,NA,
HALM,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,HALM,HALM,Halimeda (Mat),143820,2643252,NA,Yes,No,No,Halimeda,NA,
HCUC,HELI,Helioseris,CORAL,Coral,Coral,HCUC,HCUC,Helioseris cucullata,290083,2260491,/133522/165931505,No,Yes,Yes,Helioseris,Helioseris cucullata,
HOLE,MISSING,Missing,MISSING,Missing,Other,HOLE,MISSING,Invisibly deep in crevice,NA,NA,NA,No,No,No,NA,NA,
HYPO,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,HYPO,HYPO,Hypoglossum,143890,2661571,NA,Yes,No,No,Hypoglossum,NA,
IRIG,ISOP,Isophyllia,CORAL,Coral,Coral,IRIG,IRIG,Isophyllia rigida,287850,2260358,/133564/165951503,No,Yes,Yes,Isophyllia,Isophyllia rigida,
ISIN,ISOP,Isophyllia,CORAL,Coral,Coral,ISIN,ISIN,Isophyllia sinuosa,216134,2260360,/133591/165964921,No,Yes,Yes,Isophyllia,Isophyllia sinuosa,
JANI,MA,Macroalgae,CORAL,Macroalgae,Algae_Macro_Calcareous,JANI,JAN,Jania,144012,2655124,NA,Yes,No,No,Jania,NA,
LAUR,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,LAUR,LAUR,Laurencia,143914,2660953,NA,Yes,No,No,Laurencia,NA,
LC,MISSING,Missing,CORAL,Coral,Coral,LC,LC,Live Coral,NA,NA,NA,No,Yes,Yes,NA,NA,
LIAG,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,LIAG,LIA,Liagora,144211,2664984,NA,Yes,No,No,Liagora,NA,
LOBO,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,LOBO,LOB,Lobophora,144087,1964936,NA,Yes,No,No,Lobophora,NA,
MA,MA,Macroalgae,MA,Macroalgae,Algae_Macro,NA,MA,Macroalgae,NA,NA,NA,Yes,No,No,NA,NA,
MADR,MADR,Madracis,CORAL,Coral,Coral,MADR,MADR,Madracis,135125,2259474,NA,No,Yes,Yes,Madracis,NA,
MALC,MILL,Millepora,FIRE_CORAL,Fire coral,Coral,MALC,MALC,Millepora alcicornis,210726,2265089,/133144/179620187,No,Yes,Yes,Millepora,Millepora alcicornis,
MALI,MYCE,Mycetophyllia,CORAL,Coral,Coral,MALI,MALI,Mycetophyllia aliciae,290424,2260298,/133047/165693666,No,Yes,Yes,Mycetophyllia,Mycetophyllia aliciae,
MANG,MUSS,Mussa,CORAL,Coral,Coral,MANG,MANG,Mussa angulosa,216135,2260356,/133457/165900464,No,Yes,Yes,Mussa,Mussa angulosa,
MARE,MANI,Manicina,CORAL,Coral,Coral,MARE,MARE,Manicina areolata,290327,2260110,/132963/165650783,No,Yes,Yes,Manicina,Manicina areolata,
MAUR,MADR,Madracis,CORAL,Coral,Coral,MAUR,MAUR,Madracis auretenra,430664,5784825,/133618/165977116,No,Yes,Yes,Madracis,Madracis auretenra,
MCAR,MADR,Madracis,CORAL,Coral,Coral,MCAR,MCAR,Madracis carmabi,287106,5784825,/133544/165941449,No,Yes,Yes,Madracis,Madracis carmabi,
MCAV,MONT,Montastraea,CORAL,Coral,Coral,MCAV,MCAV,Montastraea cavernosa,287962,2260050,/133237/165787295,No,Yes,Yes,Montastraea,Montastraea cavernosa,
MCOM,MILL,Millepora,FIRE_CORAL,Fire coral,Coral,MCOM,MCOM,Millepora complanata,287421,2265096,/133042/179618755,No,Yes,Yes,Millepora,Millepora complanata,
MDAN,MYCE,Mycetophyllia,CORAL,Coral,Coral,MDAN,MDAN,Mycetophyllia danaana,290425,10428976,/133519/165930262,No,Yes,Yes,Mycetophyllia,Mycetophyllia danaana,
MDEC,MADR,Madracis,CORAL,Coral,Coral,MDEC,MDEC,Madracis decactis,287107,2259487,/133663/166001780,No,Yes,Yes,Madracis,Madracis decactis,
MEAN,MEAN,Meandrina,CORAL,Coral,Coral,MEAN,MEAN,Meandrina,206740,2259751,NA,No,Yes,Yes,Meandrina,NA,
MFER,MYCE,Mycetophyllia,CORAL,Coral,Coral,MFER,MFER,Mycetophyllia ferox,290426,2260297,/133356/165848265,No,Yes,Yes,Mycetophyllia,Mycetophyllia ferox,
MFOR,MADR,Madracis,CORAL,Coral,Coral,MFOR,MFOR,Madracis formosa,287108,2259482,/133281/165810746,No,Yes,Yes,Madracis,Madracis formosa,
MICR,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,MICR,MIC,Microdictyon,143993,3237815,NA,Yes,No,No,Microdictyon,NA,
MILL,MILL,Millepora,FIRE_CORAL,Fire coral,Coral,MILL,MILL,Millepora,205902,1004776,NA,No,Yes,Yes,Millepora,NA,
MISSING,MISSING,Missing,MISSING,Missing,Other,MISSING,MISSING,"Typos, missing data, unknowns",NA,NA,NA,No,No,No,NA,NA,
MJAC,MEAN,Meandrina,CORAL,Coral,Coral,MJAC,MJAC,Meandrina jacksoni,742401,7673731,/211665303/211665305,No,Yes,Yes,Meandrina,Meandrina jacksoni,
MLAM,MYCE,Mycetophyllia,CORAL,Coral,Coral,MLAM,MLAM,Mycetophyllia lamarckiana,290427,2260295,/133062/165701562,No,Yes,Yes,Mycetophyllia,Mycetophyllia lamarckiana,
MMEA,MEAN,Meandrina,CORAL,Coral,Coral,MMEA,MMEA,Meandrina meandrites,289232,2259752,/133224/165781180,No,Yes,Yes,Meandrina,Meandrina meandrites,
MSEN,MADR,Madracis,CORAL,Coral,Coral,MSEN,MSEN,Madracis senaria,287112,2259485,/133611/165973722,No,Yes,Yes,Madracis,Madracis senaria,
MSQU,MILL,Millepora,FIRE_CORAL,Fire coral,Coral,MSQU,MSQU,Millepora squarosa,287425,2259485,NA,No,Yes,Yes,Millepora,Millepora squarosa,
MSTR,MILL,Millepora,FIRE_CORAL,Fire coral,Coral,MSTR,MSTR,Millepora striata,735835,2259485,/133466/179621708,No,Yes,Yes,Millepora,Millepora striata,
MUD,DYNSUB,Dynamic substrate,DYNSUB,Dynamic substrate,Other,MUD,MUD,Mud (greater or equal to 5cm thick),NA,NA,NA,No,No,No,NA,NA,>5cm thick
MYCE,MYCE,Mycetophyllia,CORAL,Coral,Coral,MYCE,MYCE,Mycetophyllia,267606,2260355,NA,No,Yes,Yes,Mycetophyllia,NA,
NEOM,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,NEOM,NEO,Neomeris,205280,2644755,NA,Yes,No,No,Neomeris,NA,
OANN,ORBI,Orbicella,CORAL,Coral,Coral,OANN,OANN,Orbicella annularis,758260,7617481,/133134/165736431,No,Yes,Yes,Orbicella,Orbicella annularis,
OCTO,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates,OCTO,GORG,Octocoral/Gorgorian,1341,NA,NA,No,No,No,NA,NA,Holdfast of any branching coral
OCUL,OCUL,Oculina,CORAL,Coral,Coral,OCUL,OCUL,Oculina,135124,7237765,NA,No,Yes,Yes,Oculina,NA,
ODIF,OCUL,Oculina,CORAL,Coral,Coral,ODIF,ODIF,Oculina diffusa,287097,5184828,/133212/165774759,No,Yes,Yes,Oculina,Oculina diffusa,
OFAV,ORBI,Orbicella,CORAL,Coral,Coral,OFAV,MFAV,Orbicella faveolata,758261,8279523,NA,No,Yes,Yes,Orbicella,Orbicella faveolata,
OFRA,ORBI,Orbicella,CORAL,Coral,Coral,OFRA,MFRA,Orbicella franksi,758262,7454567,NA,No,Yes,Yes,Orbicella,Orbicella franksi,
OINV,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates,OINV,OINV,Other (non-aggressive) Invertebrates,NA,NA,/133212/165774759,No,No,No,NA,NA,
ORBI,ORBI,Orbicella,CORAL,Coral,Coral,ORBI,ORBI,Orbicella,758259,3250181,NA,No,Yes,Yes,Orbicella,NA,
PADI,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,PADI,PAD,Padina,144088,3200149,NA,Yes,No,No,Padina,NA,
PALY,INVERTS,Invertebrates,INVERTS,Invertebrates,MISSING,PALY,PALY,Palythoa,205785,2257986,NA,No,No,No,Palythoa,NA,
PAST,PORI,Porites,CORAL,Coral,Coral,PAST,PAST,Porites astreoides,288889,5184785,/133680/166010213,No,Yes,Yes,Porites,Porites asteroides,
PAVE,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Other,PAVE,PAVE,Carbonate Pavement,NA,NA,NA,No,No,No,NA,NA,
PCAR,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,PCAR,PCAR,Palythoa caribaeorum,288456,5841759,NA,No,No,No,Palythoa,Palythoa caribaeorum,
PCLI,PSEU,Pseudodiploria,CORAL,Coral,Coral,PCLIV,PCLI,Pseudodiploria clivosa,828326,8377035,/133377/165857974,No,Yes,Yes,Pseudodiploria,Pseudodiploria clivosa,
PDIV,PORI,Porites,CORAL,Coral,Coral,PDIV,PDIV,Porites divaricata,411268,5711898,/133584/165961166,No,Yes,Yes,Porites,Porites divaricata,
PENI,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,PENI,PEN,Penicillus,143821,2643379,NA,Yes,No,No,Penicillus,NA,
PEYS,MA,Macroalgae,MA,Macroalgae,Algae_Peyssonnelid,PEYS,PEY,Peyssonelids ,144051,NA,NA,No,No,No,NA,NA,May also be FPEY or CPEY in old methods
PFUR,PORI,Porites,CORAL,Coral,Coral,PFUR,PFUR,Porites furcata,288902,5184786,/133504/165924110,No,Yes,Yes,Porites,Porites furcata,
PORI,PORI,Porites,CORAL,Coral,Coral,PORI,PORI,Porites,206485,3250147,NA,No,Yes,Yes,Porites,NA,
PORO,MA,Macroalgae,MA,Macroalgae,MISSING,PORO,PORO,Porolithon,370087,3250147,NA,Yes,No,No,Porolithon,NA,
PPOR,PORI,Porites,CORAL,Coral,Coral,PPOR,PPOR,Porites porites,207238,5184779,/133395/165867224,No,Yes,Yes,Porites,Porites porites,
PSEU,PSEU,Pseudodiploria,CORAL,Coral,Coral,PSEU,PSEU,Pseudodiploria,718588,8279477,NA,No,Yes,Yes,Pseudodiploria,NA,
PSTR,PSEU,Pseudodiploria,CORAL,Coral,Coral,PSTR,DSTR,Pseudodiploria strigosa,718718,7454555,/133155/165745174,No,Yes,Yes,Pseudodiploria,Pseudodiploria strigosa,
RCMA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,RCMA,RCMA,Red Calcareous Macroalgae,NA,NA,NA,Yes,No,No,NA,NA,
RFMA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,RFMA,RFMA,Red Fleshy Macroalgae,NA,NA,NA,Yes,No,No,NA,NA,
RHIP,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,RHIP,RHIP,Rhipocephalus,370153,2643566,NA,Yes,No,No,Rhipocephalus,NA,
ROCK,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Other,ROCK,BR,Bare rock,NA,NA,NA,No,No,No,NA,NA,ALso NCR sometimes used
RUB,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Other,RUB,RUBLE,Coral Rubble,NA,NA,NA,No,No,No,NA,NA,
SAND,DYNSUB,Dynamic substrate,DYNSUB,Dynamic substrate,Other,SAND,SAND,Sand (greater or equal to 5cm thick),NA,NA,NA,No,No,No,NA,NA,>5cm thick
SARG,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,SARG,SAR,Sargassum,144132,3196548,NA,Yes,No,No,Sargassum,NA,
SBOU,SOLE,Solenastrea,CORAL,Coral,Coral,SBOU,SBOU,Solenastrea bournoni,291054,2260076,/133657/165998525,No,Yes,Yes,Solenastrea,Solenastrea bournoni,
SCOL,SCOL,Scolymia,CORAL,Coral,Coral,SCOL,SCOL,Scolymia,204384,2260336,NA,No,Yes,Yes,Scolymia,NA,
SCOR,INVERTS,Invertebrates,INVERTS,Invertebrates,MISSING,SCOR,SCOR,Siphonodictyon coralliphagum,178378,2245092,NA,No,No,No,Siphonodictyon,Siphonodictyon coralliphagum,
SCUB,SCOL,Scolymia,CORAL,Coral,Coral,SCUB,SCUB,Scolymia cubensis,287852,2260337,/133053/165696681,No,Yes,Yes,Scolymia,Scolymia cubensis,
SF,DYNSUB,Dynamic substrate,DYNSUB,Dynamic substrate,MISSING,NA,SFIL,Syringodium filiforme,374715,7982798,/173378/7003203,No,No,No,Syringodium,Syringodium filiforme,"2014 and 2016 only, manatee grass"
SHYA,SOLE,Solenastrea,CORAL,Coral,Coral,SHYA,SHYA,Solenastrea hyades,291055,2260075,/133425/165884086,No,Yes,Yes,Solenastrea,Solenastrea hyades,
SIDE,SIDE,Siderastrea,CORAL,Coral,Coral,SIDE,SIDE,Siderastrea,204291,2258894,NA,No,Yes,Yes,Siderastrea,NA,
SINT,STEP,Stephanocoenia,CORAL,Coral,Coral,SINT,SINT,Stephanocoenia intersepta,291119,9705144,/133521/165931015,No,Yes,Yes,Stephanocoenia,Stephanocoenia intersepta,
SLAC,SCOL,Scolymia,CORAL,Coral,Coral,SLAC,SLAC,Scolymia lacera,287853,2260340,/132874/165608221,No,Yes,Yes,Scolymia,Scolymia lacera,
SOLE,SOLE,Solenastrea,CORAL,Coral,Coral,SOLE,SOLE,Solenastrea,267842,2260074,NA,No,Yes,Yes,Solenastrea,NA,
SPIS,STYL,Stylophora,CORAL,Coral,Coral,PDIG,PDIG,Stylophora pistillata,206982,4976552,/133685/54306217,No,Yes,Yes,Stylophora,Stylophora pistillata,Represents the now-obsolete Porites digitate
SPON,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates,SPON,SPN,"Epibenthic Sponge, these may display aggression",NA,NA,NA,No,No,No,NA,NA,
SRAD,SIDE,Siderastrea,CORAL,Coral,Coral,SRAD,SRAD,Siderastrea radians,207517,2258898,/133027/165683146,No,Yes,Yes,Siderastrea,Siderastrea radians,
SSID,SIDE,Siderastrea,CORAL,Coral,Coral,SSID,SSID,Siderastrea siderea,207516,2258895,/133389/165863977,No,Yes,Yes,Siderastrea,Siderastrea siderea,
STYP,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,STYP,STY,Stypopodium,144091,8082969,NA,Yes,No,No,Stypopodium,NA,STYPO historically used
SZEA,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,SZEA,SZEA,Svenzea zeai,165717,2249250,NA,No,No,No,Svenzea,Svenzea zeai,Invertebrate
TA,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Algae_Turf,TA,TURF,Turf Algae,NA,NA,NA,No,No,No,NA,NA,
TA_TAM,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Algae_Turf,NA,TURF,Turf Algae or Turf Algae Mat,NA,NA,NA,No,No,No,,,Used 2010-2015 to replace TA when collectors previously did not distinguish TA and TAM
TAM,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Algae_Turf,TAM,TURF,Turf Algae Mat,NA,NA,NA,Yes,No,No,NA,NA,
TAS,TA_SUB,Turf algae on substrate,TA_SUB,Turf algae on substrate,Algae_Turf_Sediment,TAS,TURF,Turf Algae Sediment Mat,NA,NA,NA,No,No,No,NA,NA,
THAL,DYNSUB,Dynamic substrate,DYNSUB,Dynamic substrate,Other,THAL,TH,Thalassia,206854,2864083,NA,Yes,No,No,Thalassia,NA,2010-2018 only
TSOL,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,TSOL,TSOL,Trididemnum solidum,251537,2329904,NA,No,No,No,Trididemnum,Trididemnum solidum,
TUNI,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates,TUNI,TUNI,Tunicate,NA,NA,NA,No,No,No,NA,NA,Invertebrate
TURB,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,TURB,TUR,Turbinaria,206641,3197378,NA,Yes,No,No,Turbinaria,NA,
UDOT,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,UDOT,UDOT,Udotea,204078,9763065,NA,Yes,No,No,Udotea,NA,
ULVA,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,ULVA,ULVA,Ulva,144296,9408069,NA,Yes,No,No,Ulva,NA,
VALO,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,VALO,VAL,Valonia,144267,2644857,NA,No,No,No,Valonia,NA,"VEN refers to Ventricaria, an obsolete genus"
WRAN,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Fleshy,WRAN,WRAN,Wrangelia,143869,2657810,NA,Yes,No,No,Wrangelia,NA,
ZOAN,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,ZOAN,ZOAN,Zoanthid,607338,NA,NA,No,No,No,NA,NA,
